City,TOPSIS_Score,Rank,Distance_Positive,Distance_Negative
New Orleans,0.7341395916345521,1,0.0450455508871929,0.12438754057663252
Seattle,0.6211188927789048,2,0.06049154860304583,0.09916684409623998
Stanford,0.6072109145065595,3,0.06311029380544979,0.09756192478781282
Santa Clara,0.5500898760333982,4,0.06795894818149226,0.08309110506544705
Las Vegas,0.5322271549989678,5,0.0770145105928857,0.08762632184516606
Atlanta,0.49981332287156477,6,0.07876006766008359,0.07870127879609162
Los Angeles,0.4851837153316492,7,0.07478598791018938,0.07048134363579538
Green Bay,0.48468815027993656,8,0.09097709027878949,0.08557054845339108
Buffalo,0.4711599012452085,9,0.09130322315742165,0.08134484829632116
San Diego,0.4655565662205791,10,0.08552110406896442,0.07449789637825834
Inglewood,0.4654822319816329,11,0.08605395524587998,0.07493967376838133
Nashville,0.4485393568358819,12,0.10058449811555746,0.08181201442327642
Detroit,0.4424411202431746,13,0.09440939727706017,0.07491692986929617
Minneapolis,0.43908605425582975,14,0.08179994269312948,0.06403337686287595
Houston,0.4055760167276258,15,0.09852504286031635,0.0672237250778889
Tempe,0.3845755466433207,16,0.10820059488274182,0.06761399014485767
Kansas City,0.3744828215503523,17,0.10848277538361406,0.06494615530137528
Jacksonville,0.3722239559303326,18,0.10489910237245464,0.0621972743743036
Baltimore,0.3665818799247551,19,0.11002827738282991,0.06367732701282497
Glendale (Phoenix),0.36261419461439376,20,0.10849116975219864,0.061721547310999145
Cleveland,0.36019884616838127,21,0.11709866097805395,0.06592486168485091
Charlotte,0.34900670975661663,22,0.09970187980082121,0.05345158782331697
Philadelphia,0.33587465255193194,23,0.10826626337351303,0.0547545636277919
Cincinnati,0.2975368634113811,24,0.11286454978657658,0.04780516212838908
Arlington,0.2847796221478303,25,0.11710644110999993,0.04662832475569648
Indianapolis,0.26568187408977995,26,0.11805666646735127,0.04271379840577817
Tampa,0.26168656889820724,27,0.10915660257808368,0.03868928235345299
Miami,0.24615405876130703,28,0.1122031287713713,0.03663779831116109
